web_scraper_order,web_scraper_start_url,detail_url,title,location,difficulty_level,duration,distance,physical_demand,ascent,descent,target_group,season,recommended_period
"1766396400-14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2256/Gemutliche-Wanderung-durch-den-Regionalpark-Aargau","Gemütliche Wanderung durch den Regionalpark Aargau","Zeihen, Stauftel
                                                                    — Schinznach Dorf, Oberdorf
                                                                                                    • AG","T1","2h 45min","10km","mittel","345m","420m","","ganzjährig","September - Mai"
"1766396403-15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2257/Vom-Solothurner-Limpachtal-an-die-Aare","Vom Solothurner Limpachtal an die Aare","Messen, Dorfplatz
                                                                    — Büren an der Aare","T1","3h 35min","13.9km","mittel","275m","330m","","ganzjährig","Oktober - Mai"
"1766396406-16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2258/Kirchen-und-Kapellen-im-Val-Capriasca","Kirchen und Kapellen im Val Capriasca","Lamone-Cadempino
                                                                                                    • TI","T2","3h 45min","12.8km","mittel","525m","525m","","ganzjährig","Oktober - März"
"1766396409-17","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2730/Entlang-der-Saane-und-umgeben-von-den-Freiburger-Voralpen","Entlang der Saane und umgeben von den Freiburger Voralpen","Gruyères
                                                                    — Bulle
                                                                                                    • FR","T1","2h 45min","10.2km","mittel","240m","220m","für Familien","ganzjährig","März - Oktober"
"1766396411-18","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2731/Stille-erleben-auf-dem-Jura-Hohenweg-in-der-Ajoie","Stille erleben auf dem Jura-Höhenweg in der Ajoie","Miécourt
                                                                    — Porrentruy
                                                                                                    • JU","T1","3h 10min","12.5km","mittel","215m","270m","","ganzjährig","März - Mai, September - November"
"1766396417-19","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2732/Gemutliche-Wanderung-am-Rande-des-Emmentals","Gemütliche Wanderung am Rande des Emmentals","Huttwil
                                                                    — Dürrenroth, Dorf
                                                                                                    • BE","T1","1h 45min","5.9km","tief","255m","195m","für Familien","ganzjährig","März - November"
"1766396419-20","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2736/Vorbei-an-Reben-und-Burgen-durch-die-Bundner-Herrschaft","Vorbei an Reben und Burgen durch die Bündner Herrschaft","Malans GR
                                                                    — Bad Ragaz
                                                                                                    • GR","T1","3h 10min","12.2km","mittel","275m","310m","für Familien","ganzjährig","März - Juni, September - Dezember"
"1766396422-21","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2737/Auf-einsamen-Pfaden-im-grunen-Valle-di-Vergeletto","Auf einsamen Pfaden im grünen Valle di Vergeletto","Gresso
                                                                    — Russo
                                                                                                    • TI","T3","2h 55min","7.9km","mittel","475m","665m","für schwindelfreie Menschen","ganzjährig","März - Mai, September - November"
"1766396424-22","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/3048/Barenland-Erlebnisweg","Bärenland Erlebnisweg","Arosa Bärenland
                                                                                                    • GR","","35min","2.3km","tief","10m","185m","Zyklus 1 (Grundschule / 6 - 9 Jahre alt), Zyklus 2 (Mittelstufe / 10 - 12 Jahre alt), Zyklus 3 (Oberstufe / 13 - 16 Jahre alt)","ganzjährig",""
"1766396427-23","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/3373/4-Angebote-der-Berglandschule-Goms","4 Angebote der Berglandschule Goms","Münster VS
                                                                                                    • VS","","","13m","tief","","","Zyklus 2 (Mittelstufe / 10 - 12 Jahre alt), Zyklus 3 (Oberstufe / 13 - 16 Jahre alt)","ganzjährig",""
"1766396429-24","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/141/La-Vue-des-Alpes","La Vue des Alpes","Vue des Alpes
                                                                                                    • NE","","1h 20min","4.9km","tief","150m","150m","für Familien","Winter",""
"1766396431-25","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/136/Wandern-und-Schlitteln","Wandern und Schlitteln","Sparenmoos
                                                                                                    • BE","","2h 0min","6.6km","mittel","255m","255m","für Familien","Winter",""
"1766396433-26","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/169/Kantone-Basel-Stadt-Landschaft","Kantone Basel-Stadt/-Landschaft","Basel, Schifflände
                                                                    — Kaiseraugst
                                                                                                    • BS","","3h 5min","12.9km","mittel","140m","120m","für Familien","ganzjährig",""
"1766396436-27","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/230/Pays-d-Enhaut","Pays d'Enhaut","Les Mosses
                                                                    — Col des Mosses
                                                                                                    • VD","","2h 30min","7.8km","hoch","430m","400m","","Winter",""
"1766396438-28","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/249/Lenzerheide","Lenzerheide","Lenzerheide
                                                                                                    • GR","","1h 45min","5.5km","mittel","255m","255m","für Familien","Winter",""
"1766396440-29","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/344/Auf-Schneeschuhen-durchs-Kiental","Auf Schneeschuhen durchs Kiental","Kiental
                                                                                                    • BE","","4h 40min","12.4km","hoch","390m","390m","","Winter","Dezember - März"
"1766396443-30","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/368/Kleinkraftwerke","Kleinkraftwerke","Bahnhof Vernier-Meyrin
                                                                    — Genève
                                                                                                    • GE","","3h 15min","12.1km","mittel","275m","320m","für Familien","ganzjährig",""
"1766396445-31","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/377/Hallwilersee","Hallwilersee","Beinwil am See
                                                                    — Schloss Hallwyl
                                                                                                    • AG","","3h 35min","14.9km","mittel","125m","195m","für Familien","ganzjährig",""
"1766396447-32","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/432/Aletschregion","Aletschregion","Stn. Moosfluh
                                                                    — Riederalp
                                                                                                    • VS","","1h 30min","5km","mittel","80m","485m","","Winter",""
"1766396450-33","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/431/Stelserberg","Stelserberg","Stels, Hof de Planis
                                                                                                    • GR","","1h 5min","3.1km","mittel","225m","225m","für Familien","Winter",""
"1766396452-34","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/428/Romantische-Hotels","Romantische Hotels","Rotenboden
                                                                    — Riffelberg
                                                                                                    • VS","","55min","3.3km","tief","75m","305m","für Familien","Winter",""
"1766396454-35","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/468/Sauschwanzlebahn","Sauschwänzlebahn","Bargen (SH)
                                                                    — Schleitheim
                                                                                                    • SH","","6h 10min","24.3km","hoch","465m","595m","für Familien","ganzjährig","Januar - März"
"1766396456-36","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/613/Winterliche-Vogelsafari","Winterliche Vogelsafari","Full, Hst. Schulweg
                                                                    — Bad Zurzach
                                                                                                    • AG","","3h 55min","15.3km","mittel","290m","265m","","ganzjährig",""
"1766396459-37","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/612/Unterwegs-im-Goms-2","Unterwegs im Goms 2","Münster
                                                                                                    • VS","","5h 10min","10.7km","hoch","755m","755m","","Winter",""
"1766396461-38","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/611/Unterwegs-im-Goms-1","Unterwegs im Goms 1","Oberwald
                                                                    — Niederwald
                                                                                                    • VS","","5h 45min","17.9km","hoch","155m","270m","","Winter",""
"1766396463-39","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/609/Dem-Huiskafi-auf-der-Spur","Dem Huiskafi auf der Spur","Wirzweli
                                                                                                    • NW","","4h 45min","9.8km","hoch","480m","480m","","Winter",""
"1766396466-40","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/608/Auf-und-ab-im-Jura-vaudois","Auf und ab im Jura vaudois","La Givrine
                                                                    — St-Cergue
                                                                                                    • VD","","6h 0min","11.7km","hoch","305m","470m","","Winter",""
"1766396468-41","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/607/Zur-Buvette-von-Ovronnaz","Zur Buvette von Ovronnaz","Ovronnaz, Chevaley
                                                                                                    • VS","","1h 40min","5.1km","mittel","385m","385m","","Winter",""
"1766396470-42","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=15","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/606/Feines-aus-dem-Prattigau","Feines aus dem Prättigau","St. Antönien
                                                                    — Pany
                                                                                                    • GR","","3h 0min","10.4km","hoch","405m","570m","für Familien","Winter",""
"1766396476-43","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/592/Holzwirtschaft-im-Entlebuch","Holzwirtschaft im Entlebuch","Sörenberg
                                                                    — Kemmeribodenbad
                                                                                                    • LU","","4h 5min","15.1km","hoch","440m","615m","","Winter",""
"1766396478-44","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/633/Winterzauber-in-Preda","Winterzauber in Preda","Preda
                                                                                                    • GR","","1h 30min","3.3km","mittel","205m","205m","","Winter",""
"1766396480-45","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/758/Verschneites-Appenzell","Verschneites Appenzell","Schwägalp
                                                                    — Kronberg
                                                                                                    • AR","","2h 30min","5.3km","mittel","470m","175m","","Winter",""
"1766396482-46","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/757/Gipfeltour-mit-Seesicht","Gipfeltour mit Seesicht","La Lécherette
                                                                                                    • VD","","3h 15min","8.4km","hoch","395m","395m","","Winter",""
"1766396485-47","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/756/Dem-Plasselbschlund-entlang","Dem Plasselbschlund entlang","Schwarzsee, Gypsera
                                                                    — Le Brand
                                                                                                    • FR","","7h 15min","15.1km","hoch","1080m","1175m","","Winter",""
"1766396487-48","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/755/Uber-vier-Schultern-wandern","Über vier Schultern wandern","H. Les Sciernes
                                                                                                    • FR","","2h 25min","7.4km","hoch","370m","365m","","Winter",""
"1766396489-49","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/754/Ruhige-Tour-oberhalb-von-Rougemont","Ruhige Tour oberhalb von Rougemont","La Manche
                                                                                                    • VD","","2h 20min","4.5km","mittel","315m","315m","für Familien","Winter",""
"1766396492-50","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/753/Knorrige-Arven-am-Mannlichen","Knorrige Arven am Männlichen","Kleine Scheidegg
                                                                    — Stn. Männlichen
                                                                                                    • BE","","2h 30min","5.6km","hoch","405m","240m","","Winter",""
"1766396494-51","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/752/Durch-Grachens-verschneite-Walder","Durch Grächens verschneite Wälder","Grächen
                                                                                                    • VS","","2h 15min","6.8km","mittel","265m","265m","für Familien","Winter",""
"1766396496-52","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/751/Am-Fusse-des-Calanda","Am Fusse des Calanda","Vättis
                                                                                                    • SG","","3h 25min","10.5km","mittel","190m","190m","","Winter",""
"1766396498-53","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/750/Hochgefuhle-uber-dem-Simmental","Hochgefühle über dem Simmental","Sparenmoos
                                                                                                    • BE","","2h 35min","6.7km","mittel","240m","240m","für Familien","Winter",""
"1766396501-54","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/749/Aussicht-vom-Weisshorn-650-Berge-im-Blick","Aussicht vom Weisshorn: 650 Berge im Blick","Maran
                                                                    — Weisshorn
                                                                                                    • GR","","4h 0min","8.4km","hoch","830m","50m","","Winter",""
"1766396503-55","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/748/Wandern-wo-die-Schirme-gleiten","Wandern, wo die Schirme gleiten","Tschentenalp
                                                                    — Adelboden
                                                                                                    • BE","","2h 15min","7.4km","mittel","190m","780m","für Familien","Winter",""
"1766396505-56","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/746/Rund-um-den-Trubsee","Rund um den Trübsee","Stn. Trübsee
                                                                                                    • NW","","1h 40min","5.2km","tief","145m","145m","für Familien","Winter",""
"1766396508-57","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/760/Veysonnaz-im-Winter-2","Veysonnaz im Winter 2","Veysonnaz, station
                                                                                                    • VS","","5h 0min","11.1km","hoch","825m","825m","","Winter","Dezember - März"
"1766396510-58","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/759/Veysonnaz-im-Winter-1","Veysonnaz im Winter 1","Les Mayens-de-Sion, Ouest
                                                                                                    • VS","","50min","2.5km","tief","30m","40m","für Familien","Winter",""
"1766396512-59","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/792/Winterwanderung-Fluhalp","Winterwanderung Fluhalp","Blauherd
                                                                                                    • VS","","1h 20min","4.2km","tief","150m","150m","für Familien","Winter",""
"1766396514-60","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/855/Von-Gontenbad-nach-Jakobsbad","Von Gontenbad nach Jakobsbad","Gontenbad
                                                                    — Jakobsbad
                                                                                                    • AI","","1h 20min","4.5km","tief","65m","75m","für Familien","Winter",""
"1766396517-61","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/854/Rundwanderung-auf-dem-Zugerberg","Rundwanderung auf dem Zugerberg","Zugerberg
                                                                                                    • ZG","","3h 55min","12.7km","hoch","280m","280m","","Winter",""
"1766396519-62","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/851/Von-Heiligenschwendi-nach-Schwanden","Von Heiligenschwendi nach Schwanden","Schwendi
                                                                    — Schwanden
                                                                                                    • BE","","1h 45min","5.2km","tief","150m","175m","","Winter",""
"1766396522-63","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/850/Von-Aminona-nach-Montana","Von Aminona nach Montana","Aminona
                                                                    — Montana
                                                                                                    • VS","","3h 55min","11.3km","hoch","440m","485m","für Familien","Winter",""
"1766396524-64","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=14","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/849/Von-Les-Paccots-nach-Les-Guederes","Von Les Paccots nach Les Guedères","Les Paccots
                                                                                                    • FR","","2h 30min","8.7km","mittel","240m","240m","","Winter",""
